,name,size_apple,price_apple,reviews_apple,rating_apple,category_apple,profit_apple,size_google,size_o_google,price_google,reviews_google,rating_google,category_google,installs_google,profit_google
0,Bible,92.7744,0.0,985920,4.5,Reference,0.0,,Varies with device,0.0,2440695.0,4.7,BOOKS_AND_REFERENCE,100000000.0,0.0
1,Facebook,389.879808,0.0,2974676,3.5,Social Networking,0.0,,Varies with device,0.0,78158306.0,4.1,SOCIAL,1000000000.0,0.0
2,LinkedIn,273.844224,0.0,71856,3.5,Social Networking,0.0,,Varies with device,0.0,1225339.0,4.2,SOCIAL,100000000.0,0.0
3,Google Earth,37.214208,0.0,446185,3.5,Travel,0.0,,Varies with device,0.0,2338655.0,4.3,TRAVEL_AND_LOCAL,100000000.0,0.0
4,PAC-MAN,100.849664,0.0,508808,3.0,Games,0.0,37.0,37M,0.0,685981.0,4.2,GAME,100000000.0,0.0
5,Allrecipes Dinner Spinner,36.399104,0.0,109349,3.5,Food & Drink,0.0,,Varies with device,0.0,61881.0,4.5,FOOD_AND_DRINK,5000000.0,0.0
6,Speedtest by Ookla,23.936,0.0,65016,3.5,Utilities,0.0,,Varies with device,0.0,1028794.0,4.4,TOOLS,100000000.0,0.0
7,Citi Mobile®,281.24467200000004,0.0,48822,3.5,Finance,0.0,46.0,46M,0.0,78306.0,4.0,FINANCE,5000000.0,0.0
8,Tumblr,151.573504,0.0,334293,4.0,Social Networking,0.0,,Varies with device,0.0,2955326.0,4.4,SOCIAL,100000000.0,0.0
9,DIRECTV,151.397376,0.0,81006,3.5,Entertainment,0.0,63.0,63M,0.0,235486.0,4.1,FAMILY,10000000.0,0.0
10,Doodle Jump,48.741376,0.99,395261,4.5,Games,391308.39,,Varies with device,0.0,1083571.0,4.3,GAME,50000000.0,0.0
11,Fandango Movies - Times + Tickets,81.92409599999999,0.0,291787,4.0,Entertainment,0.0,,Varies with device,0.0,243747.0,4.6,ENTERTAINMENT,10000000.0,0.0
12,myAT&T,68.491264,0.0,108507,3.0,Utilities,0.0,,Varies with device,0.0,80847.0,3.7,PRODUCTIVITY,50000000.0,0.0
13,Indeed Job Search,3.6915199999999997,0.0,38681,4.0,Business,0.0,,Varies with device,0.0,674730.0,4.3,BUSINESS,50000000.0,0.0
14,WhatsApp Messenger,135.044096,0.0,287589,4.5,Social Networking,0.0,,Varies with device,0.0,69119316.0,4.4,COMMUNICATION,1000000000.0,0.0
15,Wells Fargo Mobile,57.32864,0.0,43064,3.0,Finance,0.0,37.0,37M,0.0,250706.0,4.4,FINANCE,10000000.0,0.0
16,USAA Mobile,164.38272,0.0,19946,4.0,Finance,0.0,33.0,33M,0.0,100997.0,4.5,FINANCE,5000000.0,0.0
17,Best Buy,180.50048,0.0,80424,4.0,Shopping,0.0,34.0,34M,0.0,186116.0,4.4,SHOPPING,5000000.0,0.0
18,Sky News,91.697152,0.0,118,3.0,News,0.0,19.0,19M,0.0,30287.0,4.0,NEWS_AND_MAGAZINES,1000000.0,0.0
19,NBC News,52.95104,0.0,32881,3.5,News,0.0,,Varies with device,0.0,63020.0,4.1,NEWS_AND_MAGAZINES,5000000.0,0.0
20,Epson iPrint,53.388288,0.0,2838,3.0,Photo & Video,0.0,,Varies with device,0.0,108169.0,4.1,TOOLS,10000000.0,0.0
21,Mad Libs,118.498304,0.0,117889,3.0,Entertainment,0.0,61.0,61M,0.0,8126.0,4.0,FAMILY,1000000.0,0.0
22,Dropbox,180.804608,0.0,49578,3.5,Productivity,0.0,61.0,61M,0.0,1861310.0,4.4,PRODUCTIVITY,500000000.0,0.0
23,Geocaching®,108.16614399999999,0.0,12811,3.5,Navigation,0.0,,Varies with device,0.0,62616.0,4.1,HEALTH_AND_FITNESS,5000000.0,0.0
24,Starbucks,135.032832,0.0,303856,4.5,Food & Drink,0.0,35.0,35M,0.0,455377.0,4.5,FOOD_AND_DRINK,10000000.0,0.0
25,Twitter,210.569216,0.0,354058,3.5,News,0.0,,Varies with device,0.0,11667403.0,4.3,NEWS_AND_MAGAZINES,500000000.0,0.0
26,NBA,112.074752,0.0,43682,3.5,Sports,0.0,35.0,35M,0.0,108318.0,4.4,SPORTS,10000000.0,0.0
27,AirWatch Agent,24.747007999999997,0.0,1150,2.5,Business,0.0,31.0,31M,0.0,20973.0,3.1,BUSINESS,5000000.0,0.0
28,Redbox,83.90656,0.0,60236,3.0,Entertainment,0.0,30.0,30M,0.0,115033.0,4.1,ENTERTAINMENT,10000000.0,0.0
